名称,类别,地理位置-区,地理位置-板块,地理位置-详细地址,房型,面积,均价,总价
越秀·天玥,住宅,石景山,苹果园,苹果园大街越秀·天玥,3室,107,74800,855
玺悦朝阳,住宅,朝阳,常营,北京市朝阳区朝阳北路辅路,4室,124,83000,1185
北京城建·星誉BEIJING,住宅,顺义,顺义其它,北京市顺义区双平西街,2室,93,36700,255
北京城建·国誉朝华,住宅,通州,北关,北京市通州区,2室,83,62000,596
丰禾嘉会,住宅,通州,通州其它,东光路丰禾嘉会,3室,100,58000,325
云筑三期云未,住宅,朝阳,十八里店,北京市朝阳区十八里店朝阳港地块,2室,105,75000,871
金橙寻味,底商,通州,临河里,"土桥中街和迎熏东路交叉口西北角，土桥地铁站东行1200米, 砖厂北里",,,50000,198
朝阳·中建星光里,住宅,朝阳,十里河,北京市朝阳区小红门路和谐苑南侧约70米,3室,99,75000,882
中交·伴山观岚,住宅,石景山,石景山其它,北京市石景山区潭峪路,3室,117,45000,607
世嘉博苑,底商,大兴,西红门,欣宁街76号,,,37000,650
中建璞园,住宅,朝阳,中央别墅区,北京市朝阳区东苇路与机场高速交汇向南约700米,3室,99,79800,610
金融街武夷融御（三期）,住宅,通州,武夷花园,紫运北街金融街武夷融御（三期）,2室,149,66000,975
梧桐山语,住宅,昌平,东关,昌平区朝辛路,2室,92,43000,310
招商璀璨公元,住宅,通州,临河里,群芳中三街与颐瑞中三路交叉口,3室,109,62000,407
招商·璀璨时代,住宅,通州,通州其它,北京市通州区桑园三街东光路璀璨时代,3室,114,58000,662
中海学府里,住宅,石景山,鲁谷,张仪村路中海学府里,3室,108,75000,675
王府77,商业类,东城,灯市口,北京市东城区王府井大街77号（中国美术馆地铁站D2西南口步行440米）,,,170000,3000
招商•臻园,住宅,丰台,科技园区,北京市丰台区丰园路招商•臻园,4室,111,60000,440
西红门橡树湾三期,住宅,大兴,西红门,福伟路西红门橡树湾三期,4室,122,55000,942
长安府,低密住宅,通州,北关,北京市通州区榆景中路,4室,451,78000,3340
北京建工熙华台,住宅,丰台,青塔,北京建工熙华台,3室,110,85000,910
石景山保利璟山和煦,住宅,石景山,苹果园,北京市石景山区新立街2号,3室,106,62000,717
颐瑞府,住宅,通州,临河里,群芳中三街和颐瑞中三路交汇西南方向,3室,157,60000,970
昌平 北京国贤府,住宅,昌平,北七家,七星路北京国贤府,4室,140,55000,720
北京建工揽星樾,住宅,房山,城关,京周路北京建工揽星樾,2室,92,21500,217
璟上兰园,住宅,顺义,后沙峪,北京市顺义区火寺路与火沙路交口向北约200米,3室,128,52000,643
北投晟景汀澜,住宅,通州,北关,北京通州区运河核心区永顺镇潞苑二街与中瑞西路交汇处,1室,83,50000,417
大兴晓月和风,住宅,大兴,黄村中,北京市大兴区,3室,132,53000,860
宏大北园社区,底商,大兴,西红门,宏大北园,,,650,
招商玺,住宅,大兴,大兴其它,兴海路与博兴六路交叉口西北招商玺,4室,204,77000,1625
建发观堂府,住宅,昌平,东关,北京市昌平区,3室,124,45000,760
璞瑅润府,住宅,顺义,马坡,顺沙路璞瑅润府,4室,146,38000,460
梧桐星宸,住宅,昌平,沙河,昌平线沙河高教园地铁站旁,1室,93,50000,457
香山樾,住宅,海淀,西山,北京市海淀区香山南路与杏石口路交叉口西200米,4室,228,121000,2850
壹品兴创颐和公馆,住宅,大兴,黄村火车站,北京大兴黄村义忠路和义和庄南街交界处,3室,149,55000,895
